scene_name,scenes_size,num_elements,max_vertex_count,min_vertex_count,avg_vertex_count,tallest_building,shortest_building,avg_building_height,tot_num_faces,avg_num_faces_building,max_num_faces_building,min_coords_biggest_building,max_coords_biggest_building,scene_total_area,tot_buildings_area,avg_building_area,max_building_area,min_occuppied_percentage_area,max_occuppied_percentage_area,avg_occuppied_percentage_area,total_occuppied_percentage_area,tot_buildings_volume_max,avg_building_volume,max_building_volume
2801769,[400.       400.        26.322626],58,102,8,15.894736842105264,26.3226261138916,7.069427490234375,16.977607041074517,1247,21.87719298245614,151,[ 49.842545 -71.51229    0.      ],[ 84.21588  -28.687443  19.938587],160000.0,36251.43480162363,635.9900842390111,1472.0329293868854,0.15124223706951398,0.9200205808668034,0.39749380264938194,22.657146751014775,625023.6862475536,10965.327828904448,29350.25690724836
2804353,[400.       400.        17.841106],13,40,8,18.666666666666668,17.841106414794922,3.981950521469116,7.360924581686656,312,26.0,58,[-23.099308  16.130241   0.      ],[ 3.4195662 84.60287   17.841106 ],160000.0,6667.863636822727,555.6553030685606,1815.8169457777694,0.07997677932763736,1.134885591111106,0.3472845644178503,4.167414773014205,63508.61052688062,5292.384210573385,32396.183359409086
2801947,[400. 400.  42.],39,1212,8,107.89473684210526,42.0,4.893360614776611,18.3124749409525,5216,137.26315789473685,1187,[18.563314 80.1181    0.      ],[ 81.25163 162.14941  17.11687],160000.0,43123.354652134374,1134.8251224245887,5142.404932846897,0.15185764881010982,3.214003083029311,0.7092657015153679,26.952096657583976,823984.7698705343,21683.80973343511,88021.88124886826
2800412,[400.       400.        21.160353],89,82,8,10.75,21.16035270690918,4.378622055053711,9.041650078513406,1243,14.125,121,[-33.247513  19.189817   0.      ],[11.950615 76.48595  16.62535 ],160000.0,27301.620059102566,310.2456824898018,2589.6777681723615,0.04803024312603043,1.618548605107726,0.19390355155612615,17.063512536939097,376993.2520087367,4284.014227372006,43054.30174884201
2801538,[400.       400.        35.608242],21,58,8,17.6,35.60824203491211,3.964392900466919,18.024813044071198,488,24.4,85,[-81.43102  36.08324   0.     ],[ 9.200292 68.72203  22.323946],160000.0,22344.42868120486,1117.221434060243,2958.0964459700153,0.13429169067545443,1.8488102787312597,0.6982633962876519,13.965267925753038,439069.516080326,21953.4758040163,66036.38532009887
2804597,[443.22375  454.0274    20.893797],8,68,8,26.857142857142858,20.893796920776367,7.784482479095459,15.824824128832136,272,38.857142857142854,100,[-173.38237   78.83139    0.     ],[-75.56527  254.0274    15.783496],201235.73,55233.119927271706,7890.445703895958,23042.906301272917,0.899909927990052,11.450703013975033,3.9209963023725307,27.446974116607716,712161.9339523206,101737.4191360458,270484.39175802073
2805891,[400.       400.        29.722132],38,132,8,17.56756756756757,29.722131729125977,4.176746368408203,16.309634324666614,897,24.243243243243242,192,[-158.42188   73.21209    0.     ],[-78.25771  107.587875  17.1022  ],160000.0,21999.80933279914,594.5894414270039,2755.7060530369054,0.026900515523011564,1.7223162831480658,0.37161840089187737,13.749880832999459,417229.58080104785,11276.475156785076,47128.63483242463
2800291,[400.      400.       41.89725],5,192,8,54.0,41.89725112915039,9.897092819213867,21.397745370864868,294,73.5,264,[-86.556305 -90.33406    0.      ],[145.91028 105.85576  41.89725],160000.0,48832.97528230294,12208.243820575735,45607.57696984336,0.6406175777493627,28.5047356061521,7.630152387859835,30.52060955143934,1958253.634195378,489563.4085488445,1910832.105697583
2806824,[400.      421.06274  19.40705],15,168,8,31.571428571428573,19.40704917907715,11.916354179382324,16.11534002849034,641,45.785714285714285,252,[-199.55806 -213.13603    0.     ],[-92.31797  -87.22091   17.503254],168425.1,72633.57150343517,5188.11225024537,13766.291270707268,0.43803569868048553,8.173539324930474,3.080367737806511,43.12514832929115,1208139.19024675,86295.6564461964,236349.04673126715
2809401,[400.      400.        8.28055],3,28,12,20.0,8.280550003051758,4.730006217956543,6.50527811050415,56,28.0,40,[-59.66826   86.104034   0.      ],[-32.440315 108.30103    8.28055 ],160000.0,1149.8395520323538,574.9197760161769,604.3786218800233,0.3409130813452066,0.37773663867501456,0.35932486001011055,0.7186497200202211,7584.6209905259275,3792.3104952629637,5004.587399253044
