scene_name,scenes_size,num_elements,max_vertex_count,min_vertex_count,avg_vertex_count,tallest_building,shortest_building,avg_building_height,tot_num_faces,avg_num_faces_building,max_num_faces_building,diff_coords_biggest_building,min_coords_biggest_building,max_coords_biggest_building,tot_buildings_area,avg_building_area,max_building_area,min_occuppied_percentage_area,max_occuppied_percentage_area,avg_occuppied_percentage_area,total_occuppied_percentage_area,tot_buildings_volume_max,avg_building_volume,max_building_volume
2800219,[400.       400.        29.087246],93,54,8,18.17391304347826,29.08724594116211,3.8984944820404053,13.12448186200598,2344,25.47826086956522,79,"[56.607994079589844, 47.42209243774414, 29.08724594116211]","[-28.80428123474121, -35.50082778930664, 0.0]","[27.803712844848633, 11.921263694763184, 29.08724594116211]",57486.610747924824,624.8544646513568,2703.8267353663177,0.009847125666619832,1.6898917096039483,0.390534040407098,35.92913171745302,934852.5548724585,10161.440813831072,78083.82381096542
2801690,[400.       400.        24.148867],48,100,8,44.04255319148936,24.148866653442383,7.0,16.50528915892256,3101,65.97872340425532,150,"[89.62002563476562, 52.064125061035156, 16.8118896484375]","[-123.84638214111328, -132.88021850585938, 0.0]","[-34.226356506347656, -80.81609344482422, 16.8118896484375]",42344.21351413543,900.9407130667113,4665.988222621614,0.09056100138902366,2.916242639138509,0.5630879456666945,26.465133446334644,686385.7860193122,14603.952894027925,78444.0790996236
2803208,[400.       400.        20.960928],47,108,8,22.391304347826086,20.960927963256836,4.367014408111572,14.945331055185068,1459,31.717391304347824,160,"[110.01324462890625, 68.37242889404297, 19.13496971130371]","[-155.6968536376953, -131.61376953125, 0.0]","[-45.68360900878906, -63.24134063720703, 19.13496971130371]",39786.034927040266,864.9138027617449,7521.872745792847,0.08331101627285534,4.701170466120529,0.5405711267260905,24.866271829400166,649841.3577534053,14126.986038117515,143930.807163027
2801780,[400.      400.       20.86059],47,30,8,13.434782608695652,20.8605899810791,4.109241485595703,13.408175509908926,841,18.282608695652176,43,"[56.18534851074219, 75.16273498535156, 19.126415252685547]","[67.22073364257812, 44.08681869506836, 0.0]","[123.40608215332031, 119.24955749511719, 19.126415252685547]",43672.87593002136,949.4103463048122,4277.572530765552,0.05965953746870582,2.67348283172847,0.5933814664405075,27.295547456263346,725661.0411410386,15775.240024805193,80771.70607517952
2807459,[400.       400.        36.218258],48,72,8,21.319148936170212,36.218257904052734,3.924811363220215,16.36974225145705,1421,30.23404255319149,118,"[132.45867919921875, 92.1062240600586, 15.148741722106934]","[-32.24309158325195, -49.92597961425781, 0.0]","[100.21559143066406, 42.18024444580078, 15.148741722106934]",52559.718661075996,1118.2918864058722,12200.269136380026,0.13944542657847706,7.625168210237517,0.6989324290036703,32.84982416317249,914662.0067479515,19460.893760594714,184818.7260872136
2805426,[400.       400.        21.265106],16,160,8,40.4,21.265106201171875,12.668140411376953,17.74154249827067,889,59.266666666666666,238,"[38.745323181152344, 118.43275451660156, 20.184947967529297]","[-58.891380310058594, -30.02991485595703, 0.0]","[-20.14605712890625, 88.40283966064453, 20.184947967529297]",22957.995631597914,1530.5330421065275,4588.7153489798075,0.1535224112224205,2.8679470931123796,0.9565831513165797,14.348747269748696,412141.18605164764,27476.079070109838,92622.98055696045
2806001,[400.       400.        21.071262],12,36,8,11.272727272727273,21.07126235961914,13.172486305236816,16.29945824363015,164,14.909090909090908,52,"[37.65074157714844, 50.3273811340332, 16.411834716796875]","[65.77143859863281, -64.77641296386719, 0.0]","[103.42218017578125, -14.4490327835083, 16.411834716796875]",11099.55830899774,1009.050755363431,1894.8631854255946,0.2568596399113844,1.1842894908909967,0.6306567221021444,6.937223943123589,183215.39065663927,16655.944605149023,31098.18141014809
2806353,[400.       400.        22.470453],113,44,8,17.982142857142858,22.4704532623291,4.005198955535889,13.294310007776533,2841,25.366071428571427,64,"[44.81474304199219, 66.4688720703125, 17.53140640258789]","[-50.65058898925781, -85.42037963867188, 0.0]","[-5.835845947265625, -18.95151138305664, 17.53140640258789]",58066.0941071212,518.4472688135821,2978.785251167428,0.02485652284861317,1.8617407819796425,0.3240295430084888,36.29130881695075,880317.1521504773,7859.974572772117,52222.29482425103
2800406,[400.      400.       29.87576],116,66,8,19.008695652173913,29.87575912475586,3.9870193004608154,12.150110989031583,3074,26.730434782608697,107,"[67.63310241699219, 62.17169189453125, 14.084465980529785]","[-87.41168975830078, -81.5835189819336, 0.0]","[-19.778587341308594, -19.411827087402344, 14.084465980529785]",60299.0402553309,524.3394804811383,4204.864405340515,0.04282545610632951,2.6280402533378218,0.32771217530071134,37.686900159581796,810015.7328721801,7043.615068453738,59223.26966975909
2802402,[400.       400.        37.592796],29,58,8,29.071428571428573,37.592796325683594,4.5758957862854,16.267935480390275,1165,41.607142857142854,85,"[77.23583984375, 67.96087646484375, 15.369136810302734]","[75.96586608886719, 3.0673828125, 0.0]","[153.2017059326172, 71.02825927734375, 15.369136810302734]",28740.579903992286,1026.4492822854388,5847.501861522207,0.13078012605874392,3.6546886634513793,0.6415308014283992,17.96286243999518,483312.15917986777,17261.148542138133,80672.83534520828
2809544,[400.       400.        19.439707],9,40,8,22.0,19.439706802368164,12.990568161010742,16.28157377243042,248,31.0,58,"[54.79663848876953, 64.29816436767578, 17.283401489257812]","[-74.66954803466797, -62.566532135009766, 0.0]","[-19.872909545898438, 1.7316322326660156, 17.283401489257812]",15678.474002226169,1959.809250278271,3523.3232683470123,0.47349208490151795,2.2020770427168825,1.2248807814239195,9.799046251391355,258694.7435720209,32336.84294650262,60895.01062328546
